T12,Expenditure on health,,,,,
184,Cook Islands,2010,Domestic general government health expenditure (% of total government expenditure),9.5,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2017,Domestic general government health expenditure (% of total government expenditure),8.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2018,Domestic general government health expenditure (% of total government expenditure),6.4,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
184,Cook Islands,2019,Domestic general government health expenditure (% of total government expenditure),7.9,Data refer to fiscal years beginning 1 July.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2000,Current health expenditure (% of GDP),6.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2005,Current health expenditure (% of GDP),6.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2010,Current health expenditure (% of GDP),8.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2017,Current health expenditure (% of GDP),7.0,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2018,Current health expenditure (% of GDP),7.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2019,Current health expenditure (% of GDP),7.3,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2000,Domestic general government health expenditure (% of total government expenditure),25.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2005,Domestic general government health expenditure (% of total government expenditure),25.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2010,Domestic general government health expenditure (% of total government expenditure),31.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2017,Domestic general government health expenditure (% of total government expenditure),26.9,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2018,Domestic general government health expenditure (% of total government expenditure),27.8,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
188,Costa Rica,2019,Domestic general government health expenditure (% of total government expenditure),24.1,Data based on calendar year (January 1 to December 31).;Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2000,Current health expenditure (% of GDP),6.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2005,Current health expenditure (% of GDP),5.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2010,Current health expenditure (% of GDP),4.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2017,Current health expenditure (% of GDP),3.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2018,Current health expenditure (% of GDP),3.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2019,Current health expenditure (% of GDP),3.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2000,Domestic general government health expenditure (% of total government expenditure),4.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2005,Domestic general government health expenditure (% of total government expenditure),3.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2010,Domestic general government health expenditure (% of total government expenditure),4.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2017,Domestic general government health expenditure (% of total government expenditure),5.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2018,Domestic general government health expenditure (% of total government expenditure),5.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
384,Côte d’Ivoire,2019,Domestic general government health expenditure (% of total government expenditure),5.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
191,Croatia,2000,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
191,Croatia,2005,Current health expenditure (% of GDP),6.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
191,Croatia,2010,Current health expenditure (% of GDP),8.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
191,Croatia,2017,Current health expenditure (% of GDP),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
191,Croatia,2018,Current health expenditure (% of GDP),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
191,Croatia,2019,Current health expenditure (% of GDP),7.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
191,Croatia,2000,Domestic general government health expenditure (% of total government expenditure),13.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
191,Croatia,2005,Domestic general government health expenditure (% of total government expenditure),12.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed April 2022."
