T28,Water supply and sanitation services,,,,,
170,Colombia,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",16.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
170,Colombia,2020,"Safely managed sanitation facilities, total (Proportion of population with access)",18.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",55.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",12.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2010,"Safely managed drinking water sources, total (Proportion of population with access)",39.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",58.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",17.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2015,"Safely managed drinking water sources, total (Proportion of population with access)",44.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",58.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",19.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
178,Congo,2020,"Safely managed drinking water sources, total (Proportion of population with access)",45.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2010,"Safely managed drinking water sources, urban (Proportion of population with access)",80.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2010,"Safely managed drinking water sources, rural (Proportion of population with access)",77.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2010,"Safely managed drinking water sources, total (Proportion of population with access)",79.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2010,"Safely managed sanitation facilities, urban (Proportion of population with access)",34.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2010,"Safely managed sanitation facilities, rural (Proportion of population with access)",37.0,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2010,"Safely managed sanitation facilities, total (Proportion of population with access)",35.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2015,"Safely managed drinking water sources, urban (Proportion of population with access)",80.3,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2015,"Safely managed drinking water sources, rural (Proportion of population with access)",79.9,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2015,"Safely managed drinking water sources, total (Proportion of population with access)",80.2,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2015,"Safely managed sanitation facilities, urban (Proportion of population with access)",30.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2015,"Safely managed sanitation facilities, rural (Proportion of population with access)",36.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2015,"Safely managed sanitation facilities, total (Proportion of population with access)",32.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2020,"Safely managed drinking water sources, urban (Proportion of population with access)",80.4,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2020,"Safely managed drinking water sources, rural (Proportion of population with access)",81.1,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2020,"Safely managed drinking water sources, total (Proportion of population with access)",80.5,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2020,"Safely managed sanitation facilities, urban (Proportion of population with access)",28.7,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
188,Costa Rica,2020,"Safely managed sanitation facilities, rural (Proportion of population with access)",36.6,,"World Health Organization (WHO) and United Nations Children's Fund (UNICEF), Geneva and New York, the WHO/UNICEF Joint Monitoring Programme for the Water and Sanitation database, last accessed July 2021."
